Week	Organ	Shapiro p-val_boys	Shapiro p-val_girls	KS p-val_b2g	t-test p-val_b2g
31	BodyWeight	0.8583127856254578	0.2666296660900116	0.19552841379466745	0.08464466630268222
31	BodyLength	0.6951188445091248	0.2954185903072357	0.11538178024246137	0.03651876096073949
31	brain	0.9195932745933533	0.866206169128418	0.43451388652627043	0.1405455471162178
31	liver	0.6771725416183472	0.9696987271308899	0.34605745132060917	0.3703444963636
31	heart	0.4684113562107086	0.9722204208374023	0.5237868426722916	0.16658670270677783
31	lung	0.26138728857040405	0.31363362073898315	0.7767835879290987	0.574149663222604
31	pancreas	0.1285766065120697	0.0528717078268528	0.9706959706959707	0.9679086466062771
31	thymus	0.9183326959609985	0.9701966643333435	0.7370547409247099	0.38386392218477017
31	spleen	0.0807761400938034	0.08045002818107605	0.34605745132060917	0.5278463339649726
31	kidney	0.5906304717063904	0.8496405482292175	0.43451388652627043	0.26455940826379626
38	BodyWeight	0.27308622002601624	0.5640808939933777	0.6393820126874088	0.6306196522262928
38	BodyLength	0.15619130432605743	0.012576140463352203	0.9944453655343248	0.4217496015880182
38	brain	0.28591030836105347	0.6754672527313232	0.1281693053706484	0.3525284018714554
38	liver	0.3476407825946808	0.07847508043050766	0.9944453655343248	0.6302989674279775
38	heart	0.03071289137005806	0.9527767300605774	0.6393820126874088	0.7862764782890629
38	lung	0.4064103066921234	0.5647183060646057	0.4654578921365766	0.46768097396561825
38	pancreas	0.6589045524597168	0.7040634751319885	0.81401999395119	0.417946477001812
38	thymus	0.25733762979507446	0.32986822724342346	0.4654578921365766	0.3420900831241691
38	spleen	0.8845510482788086	0.4005737900733948	0.9944453655343248	0.7794600410438437
38	kidney	0.5247658491134644	0.8877959847450256	0.6393820126874088	0.2381251883952458
39	BodyWeight	0.47431862354278564	0.8944777846336365	0.9424503100158484	0.7386010265524896
39	BodyLength	0.10841021686792374	0.10645203292369843	0.8917212483605854	0.33091835528718505
39	brain	0.8409538865089417	0.022597039118409157	0.09231584371580404	0.1461469691169929
39	liver	0.6064013242721558	0.9953383207321167	0.8917212483605854	0.7728733854912315
39	heart	0.01258534099906683	0.15058305859565735	0.4639932596616917	0.8957323914219721
39	lung	0.6588422656059265	0.7888635993003845	0.4139466420677663	0.6426904007704637
39	pancreas	0.1691315472126007	0.8409838676452637	0.9926670038142252	0.7818060870655188
39	thymus	0.31649747490882874	0.4676116704940796	0.9568978080979355	0.7289373224226363
39	spleen	0.9930245876312256	0.11915470659732819	0.08430262887351048	0.12713539301018695
39	kidney	0.5290511846542358	0.11306290328502655	0.5995873869185799	0.7500366813751178
40	BodyWeight	0.1983901858329773	0.40965166687965393	0.278941410590956	0.9699871460350951
40	BodyLength	0.039335351437330246	0.6866130828857422	0.5343382552700098	0.12931860955253177
40	brain	0.9374330639839172	0.09869419038295746	0.21053540293872675	0.3214556803592341
40	liver	0.9453972578048706	0.3243008553981781	0.9263732318760782	0.42686046817306644
40	heart	0.3707723915576935	0.09137381613254547	0.8122718142347796	0.5649713935176075
40	lung	0.9004666805267334	0.15970630943775177	0.8466896146343899	0.9602837364899766
40	pancreas	0.7507296800613403	0.3191640377044678	0.13754977538266167	0.46787445427988994
40	thymus	0.8290790319442749	0.9833071231842041	0.38621586678250963	0.11585347513393733
40	spleen	0.7634038925170898	0.47861576080322266	0.33256451871906945	0.4804105113070125
40	kidney	0.8461987972259521	0.1300741285085678	0.2619446910162082	0.324066494507257
